"cross_space","cross_run","p_obs","core_core","core_trans","trans_core","trans_trans","land_het","d","hp"
"mean","2.5%",0.1,3.1148193359375,4.5201171875,0.0048828125,1.6505859375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.2,5.72275390625,3.4389404296875,0.0856201171875,1.812890625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.3,7.0006591796875,2.91103515625,0.208837890625,1.860791015625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.4,7.7794921875,2.6242431640625,0.347216796875,1.8488037109375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.5,8.3025146484375,2.4125732421875,0.4955322265625,1.7964111328125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.6,8.7017333984375,2.273046875,0.61572265625,1.8181640625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.7,8.9725341796875,2.171240234375,0.7384521484375,1.807470703125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.8,9.2173095703125,2.0941650390625,0.83740234375,1.7843017578125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.9,9.414453125,2.0254638671875,0.95771484375,1.77841796875,0.000977517106549364,"g1","0.5"
"mean","2.5%",1,9.571826171875,1.9789306640625,1.0392333984375,1.76328125,0.000977517106549364,"g1","0.5"
"mean","50%",0.1,3.23583984375,5.037109375,0.013671875,2.3056640625,0.000977517106549364,"g1","0.5"
"mean","50%",0.2,6.0810546875,3.69873046875,0.134765625,2.5517578125,0.000977517106549364,"g1","0.5"
"mean","50%",0.3,7.58740234375,3.111328125,0.3291015625,2.5419921875,0.000977517106549364,"g1","0.5"
"mean","50%",0.4,8.44091796875,2.77197265625,0.53125,2.5126953125,0.000977517106549364,"g1","0.5"
"mean","50%",0.5,9.01171875,2.5537109375,0.7431640625,2.48828125,0.000977517106549364,"g1","0.5"
"mean","50%",0.6,9.45703125,2.40283203125,0.9287109375,2.4609375,0.000977517106549364,"g1","0.5"
"mean","50%",0.7,9.8212890625,2.29833984375,1.10498046875,2.40673828125,0.000977517106549364,"g1","0.5"
"mean","50%",0.8,10.04833984375,2.20849609375,1.2392578125,2.3671875,0.000977517106549364,"g1","0.5"
"mean","50%",0.9,10.27978515625,2.134765625,1.3720703125,2.34423828125,0.000977517106549364,"g1","0.5"
"mean","50%",1,10.46044921875,2.0849609375,1.50732421875,2.30908203125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.1,3.3637451171875,5.4847900390625,0.0257080078125,3.0398193359375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.2,6.387255859375,3.98876953125,0.18466796875,3.3495849609375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.3,8.10419921875,3.35283203125,0.43369140625,3.3160888671875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.4,9.099560546875,2.92705078125,0.7116455078125,3.2080078125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.5,9.7653564453125,2.73564453125,0.966552734375,3.1330810546875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.6,10.25595703125,2.5476806640625,1.2051513671875,3.0951904296875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.7,10.6125732421875,2.45673828125,1.4368896484375,2.9974365234375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.8,10.9063232421875,2.36044921875,1.6145751953125,2.9487548828125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.9,11.127734375,2.3114013671875,1.796142578125,2.8817138671875,0.000977517106549364,"g1","0.5"
"mean","97.5%",1,11.3465087890625,2.228369140625,1.988720703125,2.843310546875,0.000977517106549364,"g1","0.5"
"var","2.5%",0.1,1.05739340385967,4.34588430932307,0.00486372036901271,7.70224492435698,0.000977517106549364,"g1","0.5"
"var","2.5%",0.2,2.38938775831653,2.99175017087457,0.110523081431757,8.04860419816868,0.000977517106549364,"g1","0.5"
"var","2.5%",0.3,3.50799514009806,2.47081541059537,0.392231125519306,7.12534688015488,0.000977517106549364,"g1","0.5"
"var","2.5%",0.4,4.46579613708914,2.19781586021505,0.82678778714565,6.26991977486559,0.000977517106549364,"g1","0.5"
