"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","land_het","d","hp"
"mean","2.5%",0.6,1.1731201171875,1.974169921875,9.412353515625,56.26328125,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.7,1.288525390625,2.25322265625,9.70458984375,65.7240234375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.8,1.37001953125,2.5893310546875,9.8778564453125,75.0986083984375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.9,1.478515625,2.9364501953125,10.0443359375,84.44111328125,0.000977517106549364,"g1","0.6"
"mean","2.5%",1,1.55498046875,3.248876953125,10.198779296875,93.85576171875,0.000977517106549364,"g1","0.6"
"mean","50%",0.1,0.416015625,0.47265625,5.39306640625,9.541015625,0.000977517106549364,"g1","0.6"
"mean","50%",0.2,0.74462890625,0.93603515625,7.5400390625,19.052734375,0.000977517106549364,"g1","0.6"
"mean","50%",0.3,1.0185546875,1.43798828125,8.6787109375,28.5263671875,0.000977517106549364,"g1","0.6"
"mean","50%",0.4,1.25390625,1.8837890625,9.375,38.0712890625,0.000977517106549364,"g1","0.6"
"mean","50%",0.5,1.4619140625,2.36865234375,9.8984375,47.59814453125,0.000977517106549364,"g1","0.6"
"mean","50%",0.6,1.638671875,2.83251953125,10.28076171875,57.0576171875,0.000977517106549364,"g1","0.6"
"mean","50%",0.7,1.7890625,3.28515625,10.54833984375,66.6787109375,0.000977517106549364,"g1","0.6"
"mean","50%",0.8,1.91552734375,3.71484375,10.79150390625,76.15380859375,0.000977517106549364,"g1","0.6"
"mean","50%",0.9,2.04638671875,4.19140625,10.982421875,85.77392578125,0.000977517106549364,"g1","0.6"
"mean","50%",1,2.15283203125,4.6494140625,11.13916015625,95.32568359375,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.1,0.54501953125,0.615869140625,5.671630859375,9.724267578125,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.2,1.0017333984375,1.2764404296875,7.9744873046875,19.3824462890625,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.3,1.34169921875,1.840966796875,9.339111328125,29.107470703125,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.4,1.657080078125,2.443701171875,10.1185546875,38.61689453125,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.5,1.91455078125,3.0900390625,10.6884521484375,48.457763671875,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.6,2.1486572265625,3.68310546875,11.0980224609375,58.1380859375,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.7,2.373876953125,4.321044921875,11.448828125,67.776220703125,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.8,2.547705078125,4.897900390625,11.7125732421875,77.2818359375,0.000977517106549364,"g1","0.6"
"mean","97.5%",0.9,2.710546875,5.491259765625,11.9083984375,87.08759765625,0.000977517106549364,"g1","0.6"
"mean","97.5%",1,2.8487060546875,6.1186767578125,12.0982421875,96.7369384765625,0.000977517106549364,"g1","0.6"
"var","2.5%",0.1,0.551924272017045,0.730563518565188,2.78509124129399,8.35139334371945,0.000977517106549364,"g1","0.6"
"var","2.5%",0.2,1.19492285347171,2.06023443227639,4.08309458623534,16.2665412313661,0.000977517106549364,"g1","0.6"
"var","2.5%",0.3,2.14221597114034,4.64184229040659,4.94630529081134,22.95030826632,0.000977517106549364,"g1","0.6"
"var","2.5%",0.4,3.1014281868585,8.03683549838099,5.42259343688905,29.1329597003299,0.000977517106549364,"g1","0.6"
"var","2.5%",0.5,3.699963414704,11.1956964427542,6.05475508614369,34.450959952346,0.000977517106549364,"g1","0.6"
"var","2.5%",0.6,4.66606552705737,16.2893312933391,6.26641343341428,37.5099983580767,0.000977517106549364,"g1","0.6"
